chembl_id,drug_name,mechanism_of_action,action_type,target_chembl_id,target_name,target_type,binding_site,direct_interaction,molecular_mechanism,disease_efficacy,mechanism_comment,selectivity_comment,references
CHEMBL3,NICOTINE,Neuronal acetylcholine receptor; alpha4/beta2 agonist,AGONIST,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,PROTEIN COMPLEX,,1,1,1,,,11006350; 16636791; 16754836; 17146052; 17226798; 17360707; 17590520; 17613539; 19560048; 20081230; 20400469
CHEMBL4,OFLOXACIN,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,Bacterial DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,setid=81e8ece1-ab0b-4deb-8f84-79f21419b328
CHEMBL5,NALIDIXIC ACID,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,Bacterial DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,label/2012/014214s060lbl.pdf
CHEMBL6,INDOMETHACIN,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,Cyclooxygenase,PROTEIN FAMILY,,1,1,1,,,"""label/2007/016059s097,017814s040,018332s030lbl.pdf; 9780702034718 PP. 319-320"""
CHEMBL8,CIPROFLOXACIN,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,Bacterial DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,label/2009/021918lbl.pdf
CHEMBL8,CIPROFLOXACIN,Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2363076,Topoisomerase IV,PROTEIN COMPLEX,,1,1,1,,,label/2019/021473s040lbl.pdf
CHEMBL9,NORFLOXACIN,Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2363076,Topoisomerase IV,PROTEIN COMPLEX,,1,1,1,,Broad spectrum,label/2013/019384s066lbl.pdf
CHEMBL9,NORFLOXACIN,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,Bacterial DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,label/2013/019384s066lbl.pdf
CHEMBL405,AMPHETAMINE,Dopamine transporter releasing agent,RELEASING AGENT,CHEMBL238,Sodium-dependent dopamine transporter,SINGLE PROTEIN,,1,1,1,,,D07445; 15602501; 15795321
CHEMBL405,AMPHETAMINE,Norepinephrine transporter releasing agent,RELEASING AGENT,CHEMBL222,Sodium-dependent noradrenaline transporter,SINGLE PROTEIN,,1,1,1,,,D07445
CHEMBL6622,ISOSORBIDE DINITRATE,Soluble guanylate cyclase activator,ACTIVATOR,CHEMBL2111348,Soluble guanylate cyclase,PROTEIN COMPLEX GROUP,"""Heterodimer, beta (1 or 2) is binding site""",1,1,1,,,setid=7ec5ba03-6164-4199-a333-7cd8d7c75e17; Isosorbide_dinitrate; Nitric_oxide; Nitrovasodilator; Soluble_guanylyl_cyclase
CHEMBL406,INDAPAMIDE,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR,CHEMBL1876,Solute carrier family 12 member 3,SINGLE PROTEIN,,1,1,1,,,anda/98/75-105_Indapamide_prntlbl.pdf; 9780702034718  PP. 354; Indapamide; Thiazide-Like
CHEMBL407,FLUMAZENIL,GABA-A receptor; anion channel allosteric antagonist,ALLOSTERIC ANTAGONIST,CHEMBL2093872,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Benzodiazepine site,1,1,1,Antagonist at benzodiazepine site to treat overdose,,label/2007/020073s016lbl.pdf
CHEMBL408,TROGLITAZONE,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,CHEMBL235,Peroxisome proliferator-activated receptor gamma,SINGLE PROTEIN,,1,1,1,,,23388479; Troglitazone
CHEMBL409,BICALUTAMIDE,Androgen Receptor antagonist,ANTAGONIST,CHEMBL1871,Androgen receptor,SINGLE PROTEIN,,1,1,1,,,setid=7c295b64-ec39-42ec-9f02-da5b42e775e1#section-12
CHEMBL12,DIAZEPAM,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL2093872,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Benzodiazepine site,1,1,1,,,15926867; 2886589; Benzodiazepine; Diazepam
CHEMBL411,DIETHYLSTILBESTROL,Estrogen receptor alpha agonist,AGONIST,CHEMBL206,Estrogen receptor,SINGLE PROTEIN,,1,1,1,,,22682699
CHEMBL14,CARBACHOL,Muscarinic acetylcholine receptor M3 agonist,AGONIST,CHEMBL245,Muscarinic acetylcholine receptor M3,SINGLE PROTEIN,,1,1,1,"""Indicated for miosis, M3 likely involved (main form in iris)""",,9780702034718 PP. 153; 12628451; 7065943; Carbachol
CHEMBL16,PHENYTOIN,Sodium channel alpha subunit blocker,BLOCKER,CHEMBL2331043,Sodium channel alpha subunit,PROTEIN FAMILY,,1,1,1,,,"""label/2016/008762s055,010151s042lbl.pdf; 15208697; 23205958"""
CHEMBL413,SIROLIMUS,FK506-binding protein 1A inhibitor,INHIBITOR,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,SINGLE PROTEIN,,1,1,1,,,setid=3275b824-3f82-4151-2ab2-0036a9ba0acc#section-14
CHEMBL416,METHOXSALEN,DNA inhibitor,INHIBITOR,CHEMBL2311221,DNA,NUCLEIC-ACID,,1,1,1,,,setid=a4c61db9-b72d-4b67-b69b-a97257b614ad
CHEMBL17,DICHLORPHENAMIDE,Carbonic anhydrase I inhibitor,INHIBITOR,CHEMBL261,Carbonic anhydrase 1,SINGLE PROTEIN,,1,1,1,,,18336310
CHEMBL17,DICHLORPHENAMIDE,Carbonic anhydrase II inhibitor,INHIBITOR,CHEMBL205,Carbonic anhydrase 2,SINGLE PROTEIN,,1,1,1,,,18336310
CHEMBL17,DICHLORPHENAMIDE,Carbonic anhydrase XII inhibitor,INHIBITOR,CHEMBL3242,Carbonic anhydrase 12,SINGLE PROTEIN,,1,1,1,,,18336310
CHEMBL17,DICHLORPHENAMIDE,Carbonic anhydrase IV inhibitor,INHIBITOR,CHEMBL3729,Carbonic anhydrase 4,SINGLE PROTEIN,,1,1,1,,,18336310
CHEMBL18,ETHOXZOLAMIDE,Carbonic anhydrase inhibitor,INHIBITOR,CHEMBL2095180,Carbonic anhydrase,PROTEIN FAMILY,,1,1,1,,,18359629
CHEMBL19,METHAZOLAMIDE,Carbonic anhydrase VII inhibitor,INHIBITOR,CHEMBL2326,Carbonic anhydrase 7,SINGLE PROTEIN,,1,1,1,,,setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207; 18336310
CHEMBL19,METHAZOLAMIDE,Carbonic anhydrase I inhibitor,INHIBITOR,CHEMBL261,Carbonic anhydrase 1,SINGLE PROTEIN,,1,1,1,,,setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207; 18336310
CHEMBL19,METHAZOLAMIDE,Carbonic anhydrase II inhibitor,INHIBITOR,CHEMBL205,Carbonic anhydrase 2,SINGLE PROTEIN,,1,1,1,,,setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207; 18336310
CHEMBL19,METHAZOLAMIDE,Carbonic anhydrase IV inhibitor,INHIBITOR,CHEMBL3729,Carbonic anhydrase 4,SINGLE PROTEIN,,1,1,1,,,setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207; 18336310
CHEMBL20,ACETAZOLAMIDE,Carbonic anhydrase I inhibitor,INHIBITOR,CHEMBL261,Carbonic anhydrase 1,SINGLE PROTEIN,,1,1,1,Expressed in eye,,10713865; 18336310
CHEMBL20,ACETAZOLAMIDE,Carbonic anhydrase II inhibitor,INHIBITOR,CHEMBL205,Carbonic anhydrase 2,SINGLE PROTEIN,,1,1,1,Expressed in eye,,20605094
CHEMBL20,ACETAZOLAMIDE,Carbonic anhydrase XII inhibitor,INHIBITOR,CHEMBL3242,Carbonic anhydrase 12,SINGLE PROTEIN,,1,1,1,Expressed in eye,,18336310
CHEMBL20,ACETAZOLAMIDE,Carbonic anhydrase IV inhibitor,INHIBITOR,CHEMBL3729,Carbonic anhydrase 4,SINGLE PROTEIN,,1,1,1,Expressed in eye,,18336310
CHEMBL21,SULFANILAMIDE,Bacterial dihydropteroate synthase inhibitor,INHIBITOR,CHEMBL2364668,Dihydropteroate synthase,SINGLE PROTEIN,,1,1,1,,Broad spectrum,16487326; 16997145; 9127492
CHEMBL22,TRIMETHOPRIM,Bacterial dihydrofolate reductase inhibitor,INHIBITOR,CHEMBL2364669,Dihydrofolate reductase,SINGLE PROTEIN,,1,1,1,,Broad spectrum,setid=a4e9183f-d0eb-4ba7-9204-760b1fd62010
CHEMBL421,SULFASALAZINE,Arachidonate 5-lipoxygenase inhibitor,INHIBITOR,CHEMBL215,Polyunsaturated fatty acid 5-lipoxygenase,SINGLE PROTEIN,,1,1,1,,,2882965; 6131674; 6428914
CHEMBL421,SULFASALAZINE,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,Cyclooxygenase,PROTEIN FAMILY,,1,1,1,,,12463455; 12950415; 14742690; 16855178
CHEMBL6466,COUMARIN,Unknown,,,,,,1,1,1,Coumarin induces proteolysis of high-molecular-weight proteins present in lymphedema. Small-size protein fragments can then be more easily drained via the lymphatics. The oncotic pressure drops and edema lessens.,,http://www.sciencedirect.com/topics/neuroscience/coumarins; 20024932; 24561300; 25553437
CHEMBL24,ATENOLOL,Beta-1 adrenergic receptor antagonist,ANTAGONIST,CHEMBL213,Beta-1 adrenergic receptor,SINGLE PROTEIN,,1,1,1,,,setid=f36d4ed3-dcbb-4465-9fa6-1da811f555e6
CHEMBL25,ASPIRIN,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,Cyclooxygenase,PROTEIN FAMILY,,1,1,1,,,17131625; 17258197; Aspirin#Mechanism_of_action
CHEMBL6995,PRACTOLOL,Beta-1 adrenergic receptor inhibitor,INHIBITOR,CHEMBL213,Beta-1 adrenergic receptor,SINGLE PROTEIN,,1,1,1,,,4827464; 759198
CHEMBL427,MECHLORETHAMINE,DNA inhibitor,INHIBITOR,CHEMBL2311221,DNA,NUCLEIC-ACID,,1,1,1,Alkylating agent,,label/2020/202317s009lbl.pdf
CHEMBL428,TROVAFLOXACIN,Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2363076,Topoisomerase IV,PROTEIN COMPLEX,,1,1,1,,,9222064
CHEMBL428,TROVAFLOXACIN,Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2311224,Bacterial DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,9222064
CHEMBL30,CIMETIDINE,Histamine H2 receptor antagonist,ANTAGONIST,CHEMBL1941,Histamine H2 receptor,SINGLE PROTEIN,,1,1,1,,,9780702034718 PP. 211
CHEMBL31,GATIFLOXACIN,DNA gyrase inhibitor,INHIBITOR,CHEMBL2311225,DNA gyrase,PROTEIN COMPLEX,,1,1,1,,,label/2015/021493s010lbl.pdf
